id,name,description,imgPath,probability,fishingPower,fishSpeed,fidhGreenDifficulty,yellowDifficulty,currencyId,currencyFromFish,levelName,minSize,maxSize,isRareFish
39,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,4,1,world4,1,10,1
40,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,4,1,world4,1,10,1
41,Boat Fish,boat,./images/fish/boat.png,0,0,1,1,1,5,0,world5,1,10,0
42,Fog Fish,fog,./images/fish/fog.png,0,0,1,1,1,5,0,world5,1,10,0
43,Lilypad Fish,lilypad,./images/fish/lilypad.png,0,0,1,1,1,5,0,world5,1,10,0
44,Moss Fish,moss,./images/fish/moss.png,0,0,1,1,1,5,0,world5,1,10,0
45,Lotus Fish,lotus,./images/fish/lotus.png,0,0,1,1,1,5,0,world5,1,10,0
46,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,5,1,world5,1,10,1
47,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,5,1,world5,1,10,1
48,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,5,1,world5,1,10,1
49,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,5,1,world5,1,10,1
50,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,5,1,world5,1,10,1
51,Cherry Fish,cherry,./images/fish/cherry.png,100,10,1,1,1,6,100,world6,1,10,0
52,Flower Fish,flower,./images/fish/flower.png,0,0,1,1,1,6,0,world6,1,10,0
53,Bridge Fish,bridge,./images/fish/bridge.png,0,0,1,1,1,6,0,world6,1,10,0
54,Lantern Fish,lantern,./images/fish/lantern.png,0,0,1,1,1,6,0,world6,1,10,0
55,Bonsai Fish,bonsai,./images/fish/bonsai.png,0,0,1,1,1,6,0,world6,1,10,0
56,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,6,1,world6,1,10,1
57,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,6,1,world6,1,10,1
58,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,6,1,world6,1,10,1
59,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,6,1,world6,1,10,1
60,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,6,1,world6,1,10,1
61,Ice Cube Fish,ice cube,./images/fish/iceCube.png,0,0,1,1,1,7,0,world7,1,10,0
62,Sleigh Fish,sleigh,./images/fish/sleigh.png,0,0,1,1,1,7,0,world7,1,10,0
63,Snowman Fish,snowman,./images/fish/snowman.png,0,0,1,1,1,7,0,world7,1,10,0
64,Snowflake Fish,snowflake,./images/fish/snowflake.png,0,0,1,1,1,7,0,world7,1,10,0
65,Hot Cocoa Fish,hot cocoa,./images/fish/hotCocoa.png,0,0,1,1,1,7,0,world7,1,10,0
66,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,7,1,world7,1,10,1
67,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,7,1,world7,1,10,1
68,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,7,1,world7,1,10,1
69,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,7,1,world7,1,10,1
70,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,7,1,world7,1,10,1
71,Zombie Fish,zombie,./images/fish/zombie.png,100,10,1,1,1,8,100,world8,1,10,0
72,Bone Fish,bone,./images/fish/bone.png,100,10,1,1,1,8,100,world8,1,10,0
73,Magma Fish,magma,./images/fish/magma.png,100,10,1,1,1,8,100,world8,1,10,0
74,Ash Fish,ash,./images/fish/ash.png,100,10,1,1,1,8,100,world8,1,10,0
75,Lava Fish,lava,./images/fish/lava.png,100,10,1,1,1,8,100,world8,1,10,0
76,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,8,1,world8,1,10,1
77,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,8,1,world8,1,10,1
78,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,8,1,world8,1,10,1
79,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,8,1,world8,1,10,1
80,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,8,1,world8,1,10,1
81,Rainbow Fish,rainbow,./images/fish/rainbow.png,100,10,1,1,1,9,100,world9,1,10,0
82,Balloon Fish,balloon,./images/fish/balloon.png,100,10,1,1,1,9,100,world9,1,10,0
83,Cloud Fish,cloud,./images/fish/cloud.png,100,10,1,1,1,9,100,world9,1,10,0
84,Plane Fish,plane,./images/fish/plane.png,100,10,1,1,1,9,100,world9,1,10,0
85,Angel Fish,angel,./images/fish/angel.png,100,10,1,1,1,9,100,world9,1,10,0
86,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,9,1,world9,1,10,1
87,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,9,1,world9,1,10,1
88,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,9,1,world9,1,10,1
89,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,9,1,world9,1,10,1
90,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,9,1,world9,1,10,1
91,Black Hole,black hole,./images/fish/blackHole.png,100,10,1,1,1,10,100,world10,1,10,0
92,Moon Fish,moon,./images/fish/moon.png,100,10,1,1,1,10,100,world10,1,10,0
93,Star Fish,star,./images/fish/star.png,100,10,1,1,1,10,100,world10,1,10,0
94,Telescope Fish,telescope,./images/fish/telescope.png,100,10,1,1,1,10,100,world10,1,10,0
95,Rocket Fish,rocket,./images/fish/rocket.png,100,10,1,1,1,10,100,world10,1,10,0
96,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,10,1,world10,1,10,1
97,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,10,1,world10,1,10,1
98,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,10,1,world10,1,10,1
99,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,10,1,world10,1,10,1
100,tmp,tmp description,./images/fish/tmp.png,0,1,1,1,1,10,1,world10,1,10,1
